timestamp,open,high,low,close,volume,trade_count,return,log_return,volatility_10,momentum_5,vwap,vwap_dist,range
1778316404,80429.64,80429.64,80429.64,80429.64,0.06,1,-1.2433225804464598e-07,-1.2433226577390183e-07,7.05767386318551e-08,0.0,80429.64384280771,-0.0038428077095886692,0.0
1778316405,80429.64,80429.64,80429.64,80429.64,0.010619999999999997,25,0.0,0.0,7.05767386318551e-08,0.0,80429.64347767738,-0.0034776773827616125,0.0
1778316406,80429.64,80429.64,80429.64,80429.64,0.00528,2,0.0,0.0,7.05767386318551e-08,-0.00999999999476131,80429.64332080306,-0.0033208030654350296,0.0
1778316407,80429.65,80429.65,80429.65,80429.65,0.0030499999999999998,3,1.2433227336572372e-07,1.2433226563646727e-07,7.057674073111931e-08,0.0,80429.64349042464,0.006509575352538377,0.0
1778316408,80429.64,80429.64,80429.64,80429.64,0.02908,7,-1.2433225804464598e-07,-1.2433226577390183e-07,8.288817713679e-08,-0.00999999999476131,80429.64281002816,-0.002810028163366951,0.0
1778316409,80429.65,80429.65,80429.65,80429.65,0.00537,3,1.2433227336572372e-07,1.2433226563646727e-07,9.17404013748924e-08,0.00999999999476131,80429.64305985118,0.006940148814464919,0.0
1778316410,80429.65,80429.65,80429.64,80429.65,0.00208,4,0.0,0.0,9.17404013748924e-08,0.00999999999476131,80429.64315201431,0.00684798568545375,0.00999999999476131
1778316411,80429.65,80429.65,80429.65,80429.65,0.00018999999999999998,2,0.0,0.0,8.288817713679e-08,0.00999999999476131,80429.6431603112,0.006839688794570975,0.0
1778316412,80429.64,80429.64,80429.64,80429.64,0.00013,2,-1.2433225804464598e-07,-1.2433226577390183e-07,9.174040022133284e-08,-0.00999999999476131,80429.64315769354,-0.003157693543471396,0.0
1778316413,80429.65,80429.65,80429.65,80429.65,0.00013,1,1.2433227336572372e-07,1.2433226563646727e-07,1.0151686984728107e-07,0.00999999999476131,80429.64316335626,0.006836643733549863,0.0
1778316414,80429.64,80429.64,80429.64,80429.64,0.00026,2,-1.2433225804464598e-07,-1.2433226577390183e-07,1.0151686984728107e-07,-0.00999999999476131,80429.6431581289,-0.0031581289076711982,0.0
1778316415,80429.65,80429.65,80429.64,80429.64,0.03278000000000001,24,0.0,0.0,1.0151686984728107e-07,-0.00999999999476131,80429.64261361246,-0.0026136124652111903,0.00999999999476131
1778316416,80429.64,80429.64,80429.64,80429.64,0.00324,3,0.0,0.0,1.0151686984728107e-07,-0.00999999999476131,80429.64256981797,-0.0025698179670143872,0.0
1778316417,80429.64,80429.64,80429.64,80429.64,0.04904,4,0.0,0.0,9.174040022133284e-08,0.0,80429.6420499175,-0.002049917500698939,0.0
1778316418,80429.64,80429.64,80429.64,80429.64,0.0012,1,0.0,0.0,8.288817713678999e-08,-0.00999999999476131,80429.64203981937,-0.0020398193737491965,0.0
1778316419,80429.65,80429.65,80429.64,80429.64,0.05744000000000002,28,0.0,0.0,7.057673863185509e-08,0.0,80429.64165061123,-0.0016506112297065556,0.00999999999476131
1778316420,80429.65,80429.65,80429.65,80429.65,0.02487,1,1.2433227336572372e-07,1.2433226563646727e-07,8.288817713678999e-08,0.00999999999476131,80429.64228774815,0.0077122518414398655,0.0
1778316421,80429.64,80429.65,80429.64,80429.65,0.00287,3,0.0,0.0,8.288817713678999e-08,0.00999999999476131,80429.64235507026,0.007644929733942263,0.00999999999476131
1778316423,80429.65,80429.65,80429.64,80429.65,0.01132,3,0.0,0.0,7.05767407311193e-08,0.00999999999476131,80429.64260952662,0.007390473372652195,0.00999999999476131
1778316424,80429.65,80429.65,80429.64,80429.64,0.014080000000000011,24,-1.2433225804464598e-07,-1.2433226577390183e-07,7.057673863185508e-08,0.0,80429.64250578803,-0.0025057880266103894,0.00999999999476131
1778316425,80429.64,80429.65,80429.64,80429.64,0.20947999999999972,104,0.0,0.0,5.8610792133615954e-08,0.0,80429.64157453075,-0.0015745307464385405,0.00999999999476131
1778316426,80429.64,80429.65,80429.64,80429.64,0.0005,4,0.0,0.0,5.8610792133615954e-08,-0.00999999999476131,80429.64157313529,-0.0015731352905277163,0.00999999999476131
1778316427,80429.64,80429.64,80429.64,80429.64,0.00318,1,0.0,0.0,5.8610792133615954e-08,-0.00999999999476131,80429.6415643177,-0.0015643177030142397,0.0
1778316428,80429.65,80429.65,80429.64,80429.64,0.00489,3,0.0,0.0,5.8610792133615954e-08,-0.00999999999476131,80429.6415509498,-0.0015509498043684289,0.00999999999476131
1778316429,80429.65,80429.65,80429.64,80429.64,0.10285000000000001,4,0.0,0.0,5.8610792133615954e-08,0.0,80429.641314659,-0.0013146590063115582,0.00999999999476131
1778316430,80429.64,80429.64,80429.64,80429.64,0.00126,2,0.0,0.0,5.8610792133615954e-08,0.0,80429.64131220983,-0.0013122098316671327,0.0
1778316431,80429.64,80429.65,80429.64,80429.64,0.00652,3,0.0,0.0,3.931731220528739e-08,0.0,80429.64129968076,-0.0012996807636227459,0.00999999999476131
1778316432,80429.65,80429.65,80429.65,80429.65,0.0009,3,1.2433227336572372e-07,1.2433226563646727e-07,5.8610792133615954e-08,0.00999999999476131,80429.64131113257,0.008688867426826619,0.0
1778316433,80429.64,80429.65,80429.64,80429.65,0.014340000000000002,4,0.0,0.0,5.8610792133615954e-08,0.00999999999476131,80429.64148961467,0.0085103853198234,0.00999999999476131
1778316434,80429.65,80429.65,80429.65,80429.65,0.01152,1,0.0,0.0,3.931731705023758e-08,0.00999999999476131,80429.64162777261,0.008372227384825237,0.0
1778316435,80429.65,80429.65,80429.64,80429.64,0.0009,2,-1.2433225804464598e-07,-1.2433226577390183e-07,5.8610792133615954e-08,0.0,80429.64162571075,-0.0016257107490673661,0.00999999999476131
1778316437,80429.64,80429.64,80429.64,80429.64,0.00068,1,0.0,0.0,5.8610792133615954e-08,0.0,80429.64162415636,-0.0016241563571384177,0.0
1778316438,80429.65,80429.65,80429.64,80429.64,0.0030600000000000002,3,0.0,0.0,5.8610792133615954e-08,-0.00999999999476131,80429.64161719823,-0.001617198227904737,0.00999999999476131
1778316439,80429.64,80429.64,80429.64,80429.64,0.02094,1,0.0,0.0,5.8610792133615954e-08,-0.00999999999476131,80429.64157113712,-0.0015711371233919635,0.0
1778316441,80429.64,80429.64,80429.64,80429.64,0.01087,3,0.0,0.0,5.8610792133615954e-08,-0.00999999999476131,80429.64154824615,-0.0015482461458304897,0.0
1778316442,80429.64,80429.64,80429.64,80429.64,0.01013,3,0.0,0.0,5.8610792133615954e-08,0.0,80429.64152750596,-0.0015275059558916837,0.0
1778316443,80429.64,80429.65,80429.64,80429.65,0.09797,3,1.2433227336572372e-07,1.2433226563646727e-07,7.05767407311193e-08,0.00999999999476131,80429.6424992683,0.007500731691834517,0.00999999999476131
1778316444,80429.64,80429.64,80429.64,80429.64,0.0017300000000000002,2,-1.2433225804464598e-07,-1.2433226577390183e-07,7.057673863185508e-08,0.0,80429.64249421662,-0.0024942166201071814,0.0
1778316445,80429.64,80429.64,80429.64,80429.64,0.00126,2,0.0,0.0,7.057673863185508e-08,0.0,80429.64249055019,-0.002490550192305818,0.0
1778316446,80429.64,80429.64,80429.64,80429.64,0.00142,2,0.0,0.0,7.057673863185508e-08,0.0,80429.64248643108,-0.002486431083525531,0.0
1778316447,80429.64,80429.64,80429.64,80429.64,0.00135,1,0.0,0.0,5.8610792133615954e-08,0.0,80429.64248252766,-0.0024825276632327586,0.0
1778316449,80429.64,80429.65,80429.64,80429.65,0.040130000000000006,47,1.2433227336572372e-07,1.2433226563646727e-07,7.05767407311193e-08,0.0,80429.64281770107,0.007182298926636577,0.00999999999476131
1778316450,80429.64,80429.65,80429.64,80429.65,0.19424999999999998,27,0.0,0.0,7.05767407311193e-08,0.00999999999476131,80429.64409262459,0.0059073754091514274,0.00999999999476131
1778316451,80429.64,80429.64,80429.64,80429.64,0.00076,2,-1.2433225804464598e-07,-1.2433226577390183e-07,8.288817713678999e-08,0.0,80429.64408978421,-0.004089784211828373,0.0
1778316452,80429.65,80429.65,80429.64,80429.64,0.025740000000000002,2,0.0,0.0,8.288817713678999e-08,0.0,80429.64399586013,-0.003995860126451589,0.00999999999476131
